verdict,statement,sentiment
false,"""The word progressive ... was created as a substitute for ‘communist’.""",0.25
half-true,"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four times higher than anybody else.""",0.0
mostly-false,"""By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan.""",0.7184
half-true,Says Obama flip-flopped on banning handguns.,0.0
pants-fire,"The ""3 red stripes"" in Joe Biden’s campaign logo refer to a Chinese socialist slogan.",0.0
half-true,"""Obamacare (hit) Americans with over $500 billion in new taxes.""",0.0
false,"Undocumented drivers ""have protections that US citizens don’t receive under Green light bill.""",0.0
true,"""You can go to Georgia and make about $6,000 more a year as a teacher.""",0.0
false,"""The Iranians continue – in the view of every objective observer – continue to pursue the acquisition of nuclear weapons.""",0.0
mostly-false,A photo of a burned cat is from the Australia wildfires.,0.0
half-true,"Wisconsin is ""dead-last in creating new businesses"" for ""three years in a row.""",0.296
mostly-true,"The EPA was asked about an environmental citation for the city landfill in Nashua, N.H. but ""didn’t know"" why it was cited.",0.0
half-true,"""I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke [in March 2007], and told them this is something we have to deal with, and nobody did anything about it.""",0.0
mostly-true,"Says Beto O’Rourke is ""open to abolishing ICE.""",0.0
false,The minimum wage has risen $2.35 in the last two years. That's 31 percent.,0.0
pants-fire,There is no ‘backlog’ of untested rape kits in Wisconsin.,-0.7845
false,"""There are 63 million abortions a year in this country.""",0.0
mostly-false,"Ted Cruz is ""unknown to the vast majority of Texans.""",0.0
true,"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.""",0.0
mostly-false,"Children and teen suicide attempts ""skyrocketed 250% in 2020"" according to ""one study done by a hospital.""",-0.6705
mostly-true,"According to the U.S. Census Bureau, 71.2 percent of Hispanic registered voters in Texas and over 86 percent of African American registered voters participated in the 2012 elections.",-0.3818
pants-fire,"Rick Santorum says Rick Perry requested 1,200 earmarks as governor of Texas.",0.0
false,"A wind turbine ""could never generate as much energy as was invested in building it.""",0.2732
mostly-false,"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""",0.6124
half-true,"""We saw the true danger of the FCC's net neutrality repeal when Verizon was caught throttling California fire fighters.""",-0.4588
false,"Scott Walker ""had a 2.3 GPA when he was asked to leave Marquette University for cheating.""",-0.0516
mostly-false,"""I saw my father march with Martin Luther King.""",0.0
half-true,"Says 2012 was the ""first year in American history that more minorities are being born than people in the majority.""",0.0
pants-fire,"A proposed constitutional amendment ""will pave the way for making abortion illegal under North Carolina’s constitution.""",-0.5574
pants-fire,"""‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.""",0.0
mostly-false,"""Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.""",0.0
false,"Monkeypox is biological warfare ""against us by our governments.""",-0.296
mostly-true,"""We're the only major oil-producing nation in the world with a self-imposed ban on exporting our crude oil to other nations.""",-0.8074
mostly-true,"""A Florida judge ruled parts of Obamacare unconstitutional.""",0.0
mostly-true,"""So far this year, more students have been killed in schools than soldiers in combat zones.""",-0.7845
false,"Say Nancy Pelosi’s net worth is $196,299,990.",0.2263
true,"The budget currently being debated ""significantly decreases the use of one-time resources.""",0.0
false,"""One of the other inaccuracies ... is that we have raised taxes multiple times and run up the budget. Absolutely not true. One tax increase since I’ve been in office. It was a quarter mill tax in the unincorporated area only.""",-0.0799
false,"It's ""not true"" that since he's been the president, executions in Iran have increased by four times.",-0.0598
false,Say easing restrictions on selling alcohol on Sundays will result in more traffic crashes and fatalities.,-0.4404
mostly-false,"""Democrats just elected (include)… a man who preys on underage prostitutes … and an anti-semitic racist who beats women.""",-0.6124
mostly-false,"""Overwhelming Democrat and Republican votes"" in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.",0.4019
pants-fire,"""To deprive"" underprivileged children ""of a meat-based protein during school lunch is most likely depriving them of their only source of protein for the day.""",-0.749
mostly-false,"""Handel endorsed gay adoption"" in 2003 when she was running for chairwoman of the Fulton County Commission.",0.25
true,"""We have to recognize that our salaries for faculty are the lowest in New England with the exception of the University of Maine.""",-0.3818
false,"Research from Japan shows ""ivermectin is effective against omicron in Phase III trial.""",0.4767
mostly-false,"""I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.""",-0.3818
mostly-false,"Says Gov. Scott Walker ""raises the pay of inmates, but we don't raise the pay of staff in our correctional institutions.""",-0.2023
half-true,Suzanne Bonamici votes with her party a partisan 98 percent of the time.,0.4019
false,"A New York law makes it ""now perfectly legal to murder"" a baby a minute before it would be born.",0.0
mostly-false,"Gas prices have gone up 99 percent since Obama became president, ""the highest gas price increase since Carter.""",0.3182
half-true,"""DEP has 2,812 employees, the lowest level since the mid-’80s.""",-0.3818
false,"The IRS is ""going to be in charge of our health care.""",0.0
true,"""This year West Virginia produced more AmeriCorps members than any other state.""",0.0
true,"""I've taken on the federal government and won.""",0.0
true,"""Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.""",0.0
pants-fire,"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",0.5001
mostly-false,"""Barack Obama asked Ukraine to investigate his political rival's campaign manager, 3 Democrat senators asked Ukraine to investigate Trump, and the DNC solicited Ukraine's help to dig up dirt on Trump.""",0.0772
mostly-true,"Says 1,000 people failed gun background checks in Wisconsin in 2018, but ""almost none of them were prosecuted for trying to do a background check and illegally buy a weapon.""",-0.7391
false,"""Registered Republican not allowed to vote.""",0.0
mostly-true,"Says Bernie Sanders ""is the most popular politician in America today.""",0.4754
half-true,"""On (Rob Portman's) watch as Bush's trade czar, our deficit with China exploded"" and ""as Bush's budget chief, Portman oversaw a spending spree that doubled the deficit.""",-0.4019
mostly-true,"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""unarmed.""",-0.7783
mostly-false,"""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't.""",0.296
half-true,"""The income tax that started at 2 percent under Governor Byrne is now 9 percent.""",0.0
mostly-true,"Adam Laxalt ""wants to restrict"" and ""worked to limit access to birth control.""",-0.3818
half-true,"""Obamacare takes $500 billion out of Medicare and funds Obamacare.""",0.0
mostly-true,"""Over half of the black workers in this country earn less"" than $15 an hour.",0.0
false,"Says the national health care law puts federal ""bureaucrats between an American citizen and her doctor.""",0.4939
false,"Says John Wayne said, ""If you don’t want an American flag flying in your town square or at your school, then why the hell are you living in the US?""",-0.6486
false,"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",0.0
half-true,"Twenty million Americans are ""out of work.""",0.0
true,"""David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence  and child abuse.""",-0.6249
pants-fire,"Says Adolf Hitler ""didn't even sink to the level of using chemical weapons. ... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.""",-0.4404
mostly-true,"Texas is ""50th in the nation in mental health care access.""",0.4939
false,"Quotes Ronald Reagan as saying, ""Keep voting Democrat ... One day they will restrict your freedoms, restrict your history and restrict your safety. All in the name of professional victims that don't understand the consequences of their ignorance.""",-0.6249
false,"""Nobody's addicted to"" marijuana.",0.0
half-true,"""It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). What exists is a difference in leadership.""",0.0
true,"Says that ""unlike Texas, Missouri has a perfect AAA credit rating.""",0.743
mostly-true,"""Austin’s the fastest-growing city in the country the last five years.""",0.0
half-true,"Democrats in the 1930s wanted President Franklin Roosevelt ""to be more conservative.""",0.0
false,"""Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.""",-0.1531
half-true,"""The president has exploded the debt by more than $3 trillion — all to give billion-dollar tax cuts to the wealthiest few.""",-0.128
mostly-false,"Says Sen. Luther Olsen, his recall opponent, supported the sale of state-owned power plants ""not to the highest bidder, but to the biggest donors"" with no oversight.",-0.2846
mostly-true,"""Ford is moving all of their small-car production to Mexico.""",0.0
pants-fire,"""At least 10 ISIS fighters have been caught coming across the Mexican border in Texas"" and there are ""dozens more that did not get caught by the Border Patrol.""",-0.0516
mostly-true,"""The geography of poverty has changed fundamentally in the last 15 years,"" with more of it concentrated in fragile and conflict states.",-0.6808
pants-fire,"Says Joe Biden’s Democratic National Convention speech ""had to be taped in segments, and the segments had to be edited together.""",0.0
pants-fire,"""Military arrests former President George W. Bush.""",-0.4404
half-true,"Says 50 percent of millennials don’t associate with ""any political party.""",0.0
half-true,"""In the last two years, I have supported and proposed $155 billion worth of targeting cuts. Dr. Gingrey has presented zero.""",0.25
mostly-true,"Says that during his eight years as Florida governor, ""we created 1.3 million net new jobs -- more jobs created than Texas.""",0.4588
mostly-false,Says Mitt Romney asked for a waiver from federal welfare rules.,0.0
half-true,"Says the health care reform bill was paid for, in part, by taking money from students and the student loan system.",0.4939
mostly-false,"""Missouri still owes $60 million on bonds issued to build the 23-year-old Edward Jones Dome, the former home of the St. Louis Rams.""",0.0
half-true,"""Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per person we lock up,"" she said. ""That’s actually cheap when you compare us to the rest of the country.""",-0.2732
mostly-false,"Says he will pursue change in federal law to protect employees from ""extortion from a union"" because ""the Supreme Court has ruled that federal prohibitions outlawing extortion usually do not apply to unions.""",0.7351
mostly-false,"""Of the states that have a lieutenant governor, many are currently discussing the need for such an obsolete office.""",-0.296
mostly-true,"In 1993, Newt Gingrich ""first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating"" for it.",0.4939
pants-fire,"David Dewhurst has a ""record of promoting an income tax.""",0.3612
half-true,"""I certainly supported Barack Obama and Joe Biden. ... I was there both times for them.""",0.5719
half-true,"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.""",0.0
pants-fire,"""No doctors who went to an American medical school will be accepting Obamacare.""",0.1027
pants-fire,"Says if Texas abortion measure passes, ""someone living in El Paso would have to drive 550 miles each way to San Antonio for something as simple as cervical cancer screening.""",-0.6597
pants-fire,"""The McCarran-Walter Act of 1952 bans Muslims from holding public office in the United States.""",0.4215
true,Seventy-five percent of the young adults in this country are not mentally or physically fit to serve.,0.3612
true,Says Barack Obama has played over 90 rounds of golf as president.,0.34
true,"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",0.25
false,"""We've done more tests in eight days than South Korea has done in eight weeks.""",0.0
mostly-true,"George Allen ""voted to end Pell Grants for 84,000 students.""",0.2263
false,"The DREAM Act the ""would give amnesty to over two million illegal aliens.""",-0.2185
mostly-false,"""I cast the deciding vote extending Medicaid health care coverage to 50,000 of our fellow citizens,""",0.4939
mostly-false,"""The expiration of the Bush-era tax cuts ... would be the biggest tax increase in the history of the country, about $4.6 trillion over 10 years.""",0.0258
true,"Barack Obama voted against ""born alive"" legislation in Illinois that was ""virtually identical to the federal law.""",0.3818
mostly-false,"Says U.S. Rep. Stephen Fincher ""breaks earmark pledge.""",0.0
mostly-false,"""Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income.""",-0.4767
false,Photo shows Kim Jong Un’s weight loss,-0.3182
half-true,"Says Russ Feingold ""formed his own political group to pay himself and his staff millions.""",-0.1027
pants-fire,"""How is a misogynist bigot of epic proportions (like U.S. Rep. Steven Smith) allowed to serve?""",0.0
half-true,"Says Mitt Romney said ""we are going to have to live with high gas prices, it's a good thing because it will reduce consumption, we don't want to produce any more gasoline.""",0.3975
mostly-false,"Says Jonathan Gruber was ""some adviser who never worked on our staff.""",0.0
half-true,"""Barack Obama's nominee for 'regulatory czar' has advocated a 'Fairness Doctrine' for the Internet"" that would require links to opposing opinions.",0.0
true,"When Mitt Romney was governor of Massachusetts, he ""stood in front of a coal plant and pointed at it and said, ‘This plant kills.’""",0.0
mostly-false,"Ranked-choice voting ""increases voter turnout and voter engagement.""",0.0
false,"Says Gov. John  Kasich incorrectly claimed Ohio’s economy was 38th in the nation when he took office. ""We were sixth in the nation in terms of economic job growth.""",0.0
mostly-false,"""Out of 860 bills (Sen. Bill Nelson has) introduced in Congress, only 10 have passed.""",0.0
false,"Ryan Sitton’s company ""accepted over $650,000 in Obama stimulus dollars.""",0.2732
mostly-false,Says withdrawing troops from Afghanistan could save the U.S. $50 billion.,0.4939
mostly-true,"""Gas in North Carolina increased 14 cents per gallon this past week, the highest in the nation.""",0.2732
half-true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",0.7693
true,Says Fox News gave Republican senators twice the air time as Democrats during a hearing about the Islamic State.,0.0
true,"John McCain wants to ""give oil companies another $4-billion"" in tax breaks.",0.0
mostly-false,"Says the photo ID law passed by North Carolina lawmakers is ""one of the nation’s most lenient voter ID laws.""",0.3384
false,"Says the Atlanta mayor is ""shutting the city down for"" the NBA All-Star Game weekend.",0.0
false,"Says ex-Lt. Gov. Evelyn Sanguinetti ""publicly did not stand in opposition to"" former Gov. Bruce Rauner’s decision to sign a bill that expanded the public funding of abortions in Illinois.",0.0
half-true,"""Dems Pass Bill to Vaccinate Children Without Parental Knowledge, Consent.""",0.0
false,"Pictures and reports of ""empty hospitals"" prove COVID-19 spread is ""fake crisis for real government planned agendas.""",-0.8402
mostly-false,"""We have been confronted with an unexpected storm that has hit the metropolitan area.""",-0.2023
mostly-false,"""Taxpayers even footed the bill for Perry’s trip to a bachelor party in Las Vegas.""",0.4019
pants-fire,"""Walmart rewards everyone with $75 coupon to celebrate its 125th Anniversary""",0.7783
true,"""More than half of all black children live in single-parent households, a number that has doubled — doubled — since we were children.""",0.0772
false,"Says Donald Trump promised ""to take care of everybody (through government-run healthcare and) the government's going to pay for it.""",0.6486
mostly-false,"""I've traveled the country advocating for the FairTax ...""",0.0
half-true,"Says she will ""work to raise the federal minimum wage back to the highest level it’s ever been — $12 an hour in today’s dollars.""",0.0
false,"The United Nations’ ""new world order"" agenda will create one world government with one world military and the end of national sovereignty.",0.5994
half-true,"Says Barack Obama has ""the worst record of any president when it comes to putting America deeper in debt.""",-0.6249
mostly-false,"""The price tag amounted to nearly $4,200 for every man, woman and child in the state.""",0.0
mostly-false,"""NAFTA, signed by Bill Clinton, has been a disaster for Pennsylvania.""",-0.6249
half-true,"Says Republicans Mitt Romney and Paul Ryan support ""massive cuts in Social Security for future generations.""",0.4404
half-true,"Voting-rights legislation proposed by Democrats in Congress called H.R. 1 ""would force states to restore the voting rights of convicted felons—including violent felons convicted of murder or rape.""",-0.8126
mostly-false,"Says signers of recall petitions against Wisconsin Gov. Scott Walker are at risk because of newly ""discovered"" provisions in state law.",-0.2732
false,"The Republican-authored state budget includes a provision ""forcing people earning as little as $12,000 to buy private health insurance that could cost them as much as $4,000 per year.""",0.0
false,"""Joe Biden says Americans can only celebrate the Fourth of July if he says so.""",0.5719
false,"Says Sarah Huckabee Sanders tweeted, ""It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?""",-0.9295
false,"Says House Democrats leading the impeachment inquiry are ""denying President Trump basic fairness and due process accorded every American.""",-0.34
mostly-false,"Chinese workers made ""90,000 banners"" for Trump’s 2020 re-election campaign and the president chose to hire ""Chinese workers instead of American workers""",0.0
false,"Raising the national minimum wage to $15 per hour ""would destroy up to 3.7 million jobs.""",-0.5423
half-true,"Hillary Clinton was against setting a deadline for withdrawal, but now she wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.",-0.0258
half-true,"Says Texas GOP platform calls for end to teaching ""critical thinking"" in public schools.",-0.3182
false,"""At the PEAK of slavery in 1860, only 1.4% of Americans owned slaves. What your history books (don't) tell you is that 3,000 blacks owned a total of 20,000 slaves the same year.""",-0.7003
true,"On Virginia’s new marijuana law: ""You can have up to one pound with only a $25 fine.""",0.0
mostly-false,"""FDA finally admits dental fillings are toxic.""",0.296
mostly-false,"The projected $1.8 billion state budget shortfall for 2015-’17 ""actually comes from an assumption based on zero growth. That just doesn’t happen.""",0.3818
mostly-false,Says Gov. Bob McDonnell's budget would cut pre-kindergarten programs.,-0.2732
half-true,"""People haven't had a raise -- 90 percent of Americans have not had a raise for 40 years.""",0.0
mostly-false,"""The Taliban went after and murdered"" people identified in the Chelsea Manning leaks.",-0.6597
pants-fire,"""Nobody is leaving Memphis. That's a myth.""",0.0
false,"""Corona is so bad, this guy died twice!""",-0.8549
false,"Says ""when I voted against [an increase in the minimum wage], it was in the 80s.""",0.3182
pants-fire,"Says Alexandria Ocasio-Cortez tweeted, ""Let’s begin ‘The Purge’ to roundup all Conservative traitors.""",0.0
false,"Says Goodwill used the pandemic ""to fire all of their employees instead of laying them off.""",-0.34
mostly-true,"""I come from the poorest ZIP code in San Antonio.""",-0.5423
pants-fire,"""Maxine Waters just introduced a bill to re-name Memorial Day — George Floyd Day.""",0.0
pants-fire,"""100% of heroin/fentanyl epidemic is because we don't have a WALL.""",0.0
false,"""Trump supporters tackled an Antifa thug, unmasked him, duct taped him to an electrical box.""",0.4404
mostly-true,"A ""regulatory thing"" means you can’t show someone drinking beer on camera.",0.0
half-true,"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""",0.0
pants-fire,"""CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.""",-0.7213
pants-fire,"Says President Barack Obama ""has taken less vacation days than any other president in a generation,"" while Congress ""has taken more vacation days than any other Congress in history.""",0.0
true,"Says that U.S. Sen. Marco Rubio says troops are leaving Iraq ""too fast.""",0.0
mostly-false,"The cap-and-trade bill will mean ""2 million jobs lost.""",0.0
pants-fire,"Veterans should vote Republican ""because the damn Democrats blocked the VA Healthcare bill again.""",-0.5859
half-true,"Says his amendment on a budget bill ""would have helped get kids back in school after teachers were vaccinated. Every single Senate Democrat voted against it.""",0.0
false,Queens voters received pre-marked ballots for Joe Biden.,0.0
false,"Matt Dolan sponsored Michael Bloomberg's ""red-flag gun confiscation law, letting the people reporting your social media posts send SWAT teams to your house to take your guns.""",-0.34
mostly-true,"""America is No. 1 in wind power.""",-0.296
mostly-false,"Congressman Jeff Denham ""has agreed all illegal immigrants should be detained, arrested and deported.""",-0.8074
half-true,"In the past decade, K-12 funding has grown six times faster than the rate of enrollment.",0.0
half-true,"""We began seeing the increase in unaccompanied minors going back to last April 2020. This is not something that happened as a result of Joe Biden becoming president.""",0.3182
false,"Says Hitler said, ""This year will go down in history. For the first time, a civilized nation has full gun registration! Our streets will be safer, our police more efficient, and the world will follow our lead into the future!""",0.6221
false,Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,-0.4215
mostly-true,"In economic growth, ""Obama's best year was slower than Bill Clinton's worst year.""",0.4019
half-true,"The transportation tax is regressive, and Emory University is ""literally getting its own transit line at virtually no cost to itself.""",-0.296
mostly-false,"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,-0.4019
half-true,"Says Donald Trump ""has a long history of exporting jobs overseas.""",0.0
mostly-true,"""Studies have shown Latinos are more than 40 percent less likely to call 911 when they have been a victim of a crime.""",-0.2732
half-true,"""Mike Lee advised Trump's legal challenges to overturn our election"" and ""was one of only two senators who was in on the scheme.""",0.2023
pants-fire,"Says a crisis actor played the parts of a shooting victim and the mothers of shooting victims in Las Vegas, Orlando and Thousand Oaks.",-0.7269
false,"None of $400 million the City of Austin proposes to spend on road projects ""will be used to add new lanes to congested roadways.""",0.0
pants-fire,"""The Democrats are very sly. … (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, they’re busing them in all over the place.""",0.5106
mostly-false,"Says Marco Rubio sold a home to a chiropractor who had been lobbying him on automobile insurance legislation and ""once he sold the home, for $380,000 cash, the speaker's position on the issue changed.""",-0.0772
half-true,"Mitt Romney said we should let foreclosures ""hit the bottom.""",-0.5267
mostly-false,"A president must ""obtain Congress' consent before formally accepting the Nobel Prize.""",0.5423
true,"""Congress as a whole is less popular than it’s been since polling was invented.""",0.3626
false,NPR posted a story about the Capitol breach before it happened.,0.0
half-true,"""Mr. Hurt would re-open that darn (Medicare) doughnut hole.""",-0.5267
pants-fire,"College students ""who are NOT U.S. Citizens and who get the PELL Grant"" plan to return to their home countries after getting free gas cards and child care.",0.8402
false,"""On 60 Minutes, Joe said he never met with Hunter and the Burisma CEO. Well, here he is with both.""",0.2732
false,"""In the state of Rhode Island 25 percent of our current physicians are graduates of for-profit medical schools.""",0.0
mostly-false,"""The reality is, with a $2 trillion-a-year health care budget, we're spending more on health care, nearly 17 percent of our gross domestic product, versus 3.8 percent of GDP on the entire military budget.""",0.5106
true,"Says he ""was the only Republican"" to vote against creating a House panel to investigate Planned Parenthood.",0.296
mostly-true,"""Since 1990, in inflation-adjusted dollars, per-student funding of the (Florida) state university system from general revenue has dropped by about $4,000.""",0.0
false,Did not vote for tax increases as a member of the West Miami City Commission.,0.0
false,"Says actor Dwayne ""The Rock"" Johnson wore a T-shirt stating: ""We Stand for the flag, we kneel for the fallen.""",0.0
false,"The incandescent light bulb ""has no effect whatever on the planet.""",-0.296
half-true,"""Al-Qaida has grown fourfold in five years.""",0.0
false,"""Covid-19 is NOT killing people. Weak immune systems and bad doctors are.""",0.5606
mostly-false,"Says George LeMieux ""even compared Marco Rubio to Barack Obama.""",0.0
pants-fire,"Say ""Sam Hyde identified as perpitrator (sic) of Beirut explosion""",0.0
true,Cobb is one of the largest school systems (in the nation) that is debt free.,0.2023
true,"Says ""Bill Clinton and George Bush both say build the Keystone XL.""",0.0
mostly-false,"""We have been teaching these (Common Core) standards in Florida schools since 2010.""",0.0
false,"Says Al Jazeera tweeted, ""#BreakingNews Taliban started abducting minor girls from their home. The parents who are refusing to give their daughters to Taliban are being killed by Taliban fighters.""",-0.802
mostly-false,"The United States has ""10,000 IRS agents making sure that you don't take an improper charity deduction,"" but to fight terrorism, it has ""less than two dozen people focusing on countering violent extremism at home.""",-0.9287
false,"""Joe Biden’s open border"" means that there are ""more Democrat voters pouring into this country.""",0.0
true,"""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""",-0.5423
true,"Says Jeb Bush ""flip-flop-flip(ped) on immigration.""",0.0
mostly-false,"Elizabeth Townsend runs the elections office that omitted a school board race on a ballot and gave a School Board candidate ""faulty advice.""",-0.3182
false,"""Since the reopening of (Georgia), we’ve seen our COVID rate skyrocket by 40%.""",0.0
mostly-true,"The national debt of $16 trillion, is ""enough to buy both the Cleveland Indians and Cincinnati Reds 1,918 times.""",-0.3612
true,"Says ""as Co-Chair of the Joint Ways & Means Committee, I secured the key piece of funding for"" the Portland-Milwaukie Light Rail project bridge.""",0.4019
