statement,verdict,sentiment
The budget currently debated significantly decrease use onetime resource,true,0.0
One inaccuracy  is raised tax multiple time run budget Absolutely true One tax increase since I’ve office It quarter mill tax unincorporated area,false,0.659
Its true since he president execution Iran increased four time,false,0.5994
Say easing restriction selling alcohol Sundays result traffic crash fatality,false,-0.8074
Democrats elected include… man prey underage prostitute … antisemitic racist beat woman,mostly-false,-0.6124
Overwhelming Democrat Republican vote 2011 legislation two special session job demonstrated bipartisan nature Wisconsin Legislature,mostly-false,0.4019
To deprive underprivileged child meatbased protein school lunch likely depriving source protein day,pants-fire,-0.7269
Handel endorsed gay adoption 2003 running chairwoman Fulton County Commission,mostly-false,0.25
We recognize salary faculty lowest New England exception University Maine,true,-0.3818
Research Japan show ivermectin effective omicron Phase III trial,false,0.4767
I led fight require Coast Guard buy engine u foreign company,mostly-false,-0.3818
Says Gov Scott Walker raise pay inmate dont raise pay staff correctional institution,mostly-false,-0.2023
Suzanne Bonamici vote party partisan 98 percent time,half-true,0.4019
A New York law make perfectly legal murder baby minute would born,false,0.0
Gas price gone 99 percent since Obama became president highest gas price increase since Carter,mostly-false,0.3182
DEP 2812 employee lowest level since mid’80s,half-true,-0.3818
The IRS going charge health care,false,0.4939
This year West Virginia produced AmeriCorps member state,true,0.0
Ive taken federal government,true,0.0
Unlike gridlock Washington 80 percent bill passed General Assembly bipartisan support,true,0.4019
The ice cap going melt going gone they’re setting record okay they’re record level,pants-fire,0.2263
Barack Obama asked Ukraine investigate political rival campaign manager 3 Democrat senator asked Ukraine investigate Trump DNC solicited Ukraines help dig dirt Trump,mostly-false,0.0772
Says 1000 people failed gun background check Wisconsin 2018 almost none prosecuted trying background check illegally buy weapon,mostly-true,-0.7179
Registered Republican allowed vote,false,0.0
Says Bernie Sanders popular politician America today,mostly-true,0.4215
On Rob Portmans watch Bushs trade czar deficit China exploded Bushs budget chief Portman oversaw spending spree doubled deficit,half-true,-0.8402
Says Dontre Hamilton killed confrontation Milwaukee police officer unarmed,mostly-true,-0.7783
How Jeb Bush Donald Trump differ immigration Spoiler alert They dont,mostly-false,0.296
The income tax started 2 percent Governor Byrne 9 percent,half-true,0.0
Adam Laxalt want restrict worked limit access birth control,mostly-true,-0.3182
Obamacare take 500 billion Medicare fund Obamacare,half-true,0.0
Over half black worker country earn le 15 hour,mostly-true,0.0
Says national health care law put federal bureaucrat American citizen doctor,false,0.4939
Says John Wayne said If don’t want American flag flying town square school hell living US,false,-0.6486
When Obama interviewed American reporter Asia Not one asked Asia Not one asked economy,false,0.0
Twenty million Americans work,half-true,0.0
David Cicilline state representative opposed tough mandatory sentence convicted domestic violence  and child abuse,true,-0.8481
Says Adolf Hitler didnt even sink to the level using chemical weapons  He using gas people way Bashar alAssad,pants-fire,-0.4404
Texas 50th nation mental health care access,mostly-true,0.4939
Quotes Ronald Reagan saying Keep voting Democrat  One day restrict freedom restrict history restrict safety All name professional victim dont understand consequence ignorance,false,0.0541
Nobodys addicted marijuana,false,0.0
It’s there’s virus shield Canada 4500 death US 80000 death What exists difference leadership,half-true,-0.8316
Says unlike Texas Missouri perfect AAA credit rating,true,0.743
Austin’s fastestgrowing city country last five year,mostly-true,0.0
Democrats 1930s wanted President Franklin Roosevelt conservative,half-true,0.0
Texas launched ‘Operation Lone Star’ finish border wall,false,-0.1531
The president exploded debt 3 trillion — give billiondollar tax cut wealthiest,half-true,-0.1027
Says Sen Luther Olsen recall opponent supported sale stateowned power plant highest bidder biggest donor oversight,mostly-false,0.3182
Ford moving smallcar production Mexico,mostly-true,0.0
At least 10 ISIS fighter caught coming across Mexican border Texas dozen get caught Border Patrol,pants-fire,0.1531
The geography poverty changed fundamentally last 15 year concentrated fragile conflict state,mostly-true,-0.6808
Says Joe Biden’s Democratic National Convention speech taped segment segment edited together,pants-fire,0.0
Military arrest former President George W Bush,pants-fire,-0.34
Says 50 percent millennials don’t associate political party,half-true,0.4019
In last two year I supported proposed 155 billion worth targeting cut Dr Gingrey presented zero,half-true,0.2732
Says eight year Florida governor created 13 million net new job  job created Texas,mostly-true,0.4588
Says Mitt Romney asked waiver federal welfare rule,mostly-false,0.0
Says health care reform bill paid part taking money student student loan system,half-true,0.4939
Missouri still owes 60 million bond issued build 23yearold Edward Jones Dome former home St Louis Rams,mostly-false,0.0
Right correction department charge taxpayer 30000 40000 year per person lock said That’s actually cheap compare u rest country,half-true,0.0
Says pursue change federal law protect employee extortion union Supreme Court ruled federal prohibition outlawing extortion usually apply union,mostly-false,0.7351
Of state lieutenant governor many currently discussing need obsolete office,mostly-false,-0.296
In 1993 Newt Gingrich first advocated individual mandate health care And recently May year still advocating,mostly-true,0.4939
David Dewhurst record promoting income tax,pants-fire,0.3612
I certainly supported Barack Obama Joe Biden  I time,half-true,0.5719
134000 criminal alien released Obama administration past two year,half-true,-0.5267
No doctor went American medical school accepting Obamacare,pants-fire,0.1027
Says Texas abortion measure pass someone living El Paso would drive 550 mile way San Antonio something simple cervical cancer screening,pants-fire,-0.6597
The McCarranWalter Act 1952 ban Muslims holding public office United States,pants-fire,-0.2023
Seventyfive percent young adult country mentally physically fit serve,true,0.3612
Says Barack Obama played 90 round golf president,true,0.34
29 state still don’t comprehensive protection people LGBTQ community,true,0.25
Weve done test eight day South Korea done eight week,false,0.0
George Allen voted end Pell Grants 84000 student,mostly-true,0.2263
The DREAM Act would give amnesty two million illegal alien,false,-0.2185
I cast deciding vote extending Medicaid health care coverage 50000 fellow citizen,mostly-false,0.4939
The expiration Bushera tax cut  would biggest tax increase history country 46 trillion 10 year,mostly-false,0.0516
Barack Obama voted born alive legislation Illinois virtually identical federal law,true,0.3818
Says US Rep Stephen Fincher break earmark pledge,mostly-false,0.0
Estimates say individual escaped high tax state taken around 2 trillion adjusted gross income,mostly-false,-0.4767
Photo show Kim Jong Un’s weight loss,false,-0.3182
Says Russ Feingold formed political group pay staff million,half-true,-0.1027
How misogynist bigot epic proportion like US Rep Steven Smith allowed serve,pants-fire,0.3612
Says Mitt Romney said going live high gas price good thing reduce consumption dont want produce gasoline,half-true,0.3975
Says Jonathan Gruber adviser never worked staff,mostly-false,0.0
Barack Obamas nominee regulatory czar advocated Fairness Doctrine Internet would require link opposing opinion,half-true,0.0
When Mitt Romney governor Massachusetts stood front coal plant pointed said ‘This plant kills’,true,0.0
Rankedchoice voting increase voter turnout voter engagement,mostly-false,0.6486
Says Gov John  Kasich incorrectly claimed Ohio’s economy 38th nation took office We sixth nation term economic job growth,false,0.3818
Out 860 bill Sen Bill Nelson introduced Congress 10 passed,mostly-false,0.0
Ryan Sitton’s company accepted 650000 Obama stimulus dollar,false,0.2732
Says withdrawing troop Afghanistan could save US 50 billion,mostly-false,0.4939
Gas North Carolina increased 14 cent per gallon past week highest nation,mostly-true,0.2732
Seniors coverage Medicare Advantage give share health care reform,half-true,0.7506
Says Fox News gave Republican senators twice air time Democrats hearing the Islamic State,true,0.0
John McCain want give oil company another 4billion tax break,true,0.0772
Says photo ID law passed North Carolina lawmaker one nation’s lenient voter ID law,mostly-false,0.2732
Says Atlanta mayor shutting city NBA AllStar Game weekend,false,0.0
Says exLt Gov Evelyn Sanguinetti publicly stand opposition former Gov Bruce Rauner’s decision sign bill expanded public funding abortion Illinois,false,0.0
Dems Pass Bill Vaccinate Children Without Parental Knowledge Consent,half-true,-0.1695
Pictures report empty hospital prove COVID19 spread fake crisis real government planned agenda,false,-0.8402
We confronted unexpected storm hit metropolitan area,mostly-false,-0.2023
Taxpayers even footed bill Perry’s trip bachelor party Las Vegas,mostly-false,0.4019
Walmart reward everyone 75 coupon celebrate 125th Anniversary,pants-fire,0.8126
More half black child live singleparent household number doubled — doubled — since child,true,0.0772
Says Donald Trump promised take care everybody governmentrun healthcare government going pay,false,0.6486
Ive traveled country advocating FairTax ,mostly-false,0.0
Says work raise federal minimum wage back highest level it’s ever been — 12 hour today’s dollar,half-true,0.0
The United Nations’ new world order agenda create one world government one world military end national sovereignty,false,0.5994
Says Barack Obama worst record president come putting America deeper debt,half-true,-0.765
The price tag amounted nearly 4200 every man woman child state,mostly-false,0.0
NAFTA signed Bill Clinton disaster Pennsylvania,mostly-false,-0.6249
Says Republicans Mitt Romney Paul Ryan support massive cut Social Security future generation,half-true,0.4588
Votingrights legislation proposed Democrats Congress called HR 1 would force state restore voting right convicted felons—including violent felon convicted murder rape,half-true,-0.9201
Says signer recall petition Wisconsin Gov Scott Walker risk newly discovered provision state law,mostly-false,-0.2732
The Republicanauthored state budget includes provision forcing people earning little 12000 buy private health insurance could cost much 4000 per year,false,0.0
Joe Biden say Americans celebrate Fourth July say,false,0.5719
Says Sarah Huckabee Sanders tweeted It’s ‘odd’ ANTIFA insurgency happened COVID19 loses steam It’s ‘odd’ COVID19 happened moment impeachment failed It’s ‘odd’ impeachment happened moment Russian hoax failed The Russian hoax happened Hillary lost Notice pattern,false,-0.9246
Says House Democrats leading impeachment inquiry denying President Trump basic fairness due process accorded every American,false,-0.34
Chinese worker made 90000 banner Trump’s 2020 reelection campaign president chose hire Chinese worker instead American worker,mostly-false,0.0
Raising national minimum wage 15 per hour would destroy 37 million job,false,-0.5423
Hillary Clinton setting deadline withdrawal want precipitous withdrawal regardless condition ground consequence defeat United States RNC radio ad,half-true,0.0772
Says Texas GOP platform call end teaching critical thinking public school,half-true,-0.3182
At PEAK slavery 1860 14 Americans owned slave What history book dont tell 3000 black owned total 20000 slave year,false,-0.7003
On Virginia’s new marijuana law You one pound 25 fine,true,0.2023
FDA finally admits dental filling toxic,mostly-false,0.296
The projected 18 billion state budget shortfall 2015’17 actually come assumption based zero growth That doesn’t happen,mostly-false,0.3818
Says Gov Bob McDonnells budget would cut prekindergarten program,mostly-false,-0.2732
People havent raise  90 percent Americans raise 40 year,half-true,0.0
The Taliban went murdered people identified Chelsea Manning leak,mostly-false,-0.7783
Nobody leaving Memphis Thats myth,pants-fire,0.0
Corona bad guy died twice,false,-0.7964
Says I voted increase minimum wage 80,false,0.3182
Says Alexandria OcasioCortez tweeted Let’s begin ‘The Purge’ roundup Conservative traitor,pants-fire,0.0
Says Goodwill used pandemic fire employee instead laying,false,-0.34
I come poorest ZIP code San Antonio,mostly-true,-0.5423
Maxine Waters introduced bill rename Memorial Day — George Floyd Day,pants-fire,0.0
100 heroinfentanyl epidemic dont WALL,pants-fire,0.0
Trump supporter tackled Antifa thug unmasked duct taped electrical box,false,0.2732
A regulatory thing mean can’t show someone drinking beer camera,mostly-true,0.0
Apple announced plan invest total 350 billion America hire another 20000 worker,half-true,0.0
CORONAVIRUS Reports 10000 DEAD Wuhan China,pants-fire,-0.7213
Says President Barack Obama taken le vacation day president generation Congress taken vacation day Congress history,pants-fire,0.0
Says US Sen Marco Rubio say troop leaving Iraq fast,true,0.0
The capandtrade bill mean 2 million job lost,mostly-false,-0.3182
Veterans vote Republican damn Democrats blocked VA Healthcare bill,pants-fire,-0.5859
Says amendment budget bill would helped get kid back school teacher vaccinated Every single Senate Democrat voted,half-true,0.0
Queens voter received premarked ballot Joe Biden,false,0.0
Matt Dolan sponsored Michael Bloombergs redflag gun confiscation law letting people reporting social medium post send SWAT team house take gun,false,-0.5859
America No 1 wind power,mostly-true,-0.296
Congressman Jeff Denham has agreed illegal immigrant detained arrested deported,mostly-false,-0.8074
In past decade K12 funding grown six time faster rate enrollment,half-true,0.0
We began seeing increase unaccompanied minor going back last April 2020 This something happened result Joe Biden becoming president,half-true,0.3182
Says Hitler said This year go history For first time civilized nation full gun registration Our street safer police efficient world follow lead future,false,0.4939
Says Louie Anderson flying appear Conan O’Brien’s show became ill week receiving third vaccine dose,false,-0.4215
In economic growth Obamas best year slower Bill Clintons worst year,mostly-true,0.4019
The transportation tax regressive Emory University literally getting transit line virtually cost,half-true,0.0
The candidate controlled Madigan said ‘The answer problem massive income tax hike’ ,mostly-false,-0.4019
Says Donald Trump long history exporting job overseas,half-true,0.0
Studies shown Latinos 40 percent le likely call 911 victim crime,mostly-true,-0.6808
Mike Lee advised Trumps legal challenge overturn election one two senator scheme,half-true,0.2023
Says crisis actor played part shooting victim mother shooting victim Las Vegas Orlando Thousand Oaks,pants-fire,-0.7096
None 400 million City Austin proposes spend road project used add new lane congested roadway,false,0.0
The Democrats sly … New Hampshire day voter registration honest Massachusetts election close they’re busing place,pants-fire,0.5106
Says Marco Rubio sold home chiropractor lobbying automobile insurance legislation sold home 380000 cash speaker position issue changed,mostly-false,-0.0772
Mitt Romney said let foreclosure hit bottom,half-true,-0.128
A president must obtain Congress consent formally accepting Nobel Prize,mostly-false,0.7783
Congress whole le popular it’s since polling invented,true,0.4215
NPR posted story Capitol breach happened,false,0.0
Mr Hurt would reopen darn Medicare doughnut hole,half-true,-0.5267
College student NOT US Citizens get PELL Grant plan return home country getting free gas card child care,pants-fire,0.8402
On 60 Minutes Joe said never met Hunter Burisma CEO Well,false,0.2732
In state Rhode Island 25 percent current physician graduate forprofit medical school,false,0.0
The reality 2 trillionayear health care budget spending health care nearly 17 percent gross domestic product versus 38 percent GDP entire military budget,mostly-false,0.5106
Says Republican vote creating House panel investigate Planned Parenthood,true,0.296
Since 1990 inflationadjusted dollar perstudent funding Florida state university system general revenue dropped 4000,mostly-true,0.0
Did vote tax increase member West Miami City Commission,false,0.3182
Says actor Dwayne The Rock Johnson wore Tshirt stating We Stand flag kneel fallen,false,-0.3612
The incandescent light bulb effect whatever planet,false,0.0
AlQaida grown fourfold five year,half-true,0.0
Covid19 NOT killing people Weak immune system bad doctor,false,0.5606
Says George LeMieux even compared Marco Rubio Barack Obama,mostly-false,0.0
Say Sam Hyde identified perpitrator sic Beirut explosion,pants-fire,0.0
Cobb one largest school system nation debt free,true,0.2023
Says Bill Clinton George Bush say build Keystone XL,true,0.0
We teaching Common Core standard Florida school since 2010,mostly-false,0.0
Says Al Jazeera tweeted BreakingNews Taliban started abducting minor girl home The parent refusing give daughter Taliban killed Taliban fighter,false,-0.765
The United States 10000 IRS agent making sure dont take improper charity deduction fight terrorism le two dozen people focusing countering violent extremism home,mostly-false,-0.8531
Joe Biden’s open border mean Democrat voter pouring country,false,0.0
President Obama became first president since Carter leave White House smaller federal prison population took office,true,-0.5423
Says Jeb Bush flipflopflipped immigration,true,0.0
Elizabeth Townsend run election office omitted school board race ballot gave School Board candidate faulty advice,mostly-false,-0.3182
Since reopening Georgia we’ve seen COVID rate skyrocket 40,false,0.0
The national debt 16 trillion enough buy Cleveland Indians Cincinnati Reds 1918 time,mostly-true,-0.3612
Says CoChair Joint Ways  Means Committee I secured key piece funding PortlandMilwaukie Light Rail project bridge,true,0.4019
They 180 million people family want basically socialized medicine — won’t even choice — want terminate 180 million plan,pants-fire,0.1531
For long Obamacare caused high premium dismal coverage  Under Obamacare premium jobbased coverage increased 3775,mostly-false,-0.4404
Says since 2000 Austin’s tax burden rose 40 percent family income rose 20 percent,mostly-true,-0.4404
89000 child separated parent Obama 1900 child separated Trump,false,0.0
Any governmentrun public plan  creates entitlement cost another 1 trillion next 10 year,half-true,0.2732
Santorum also voted teapot museum North Carolina,half-true,0.0
Switzerland government issue every household gun    lowest gun related crime rate civilized country world,pants-fire,-0.872
The Ohio economy mend … It better shape took office,half-true,0.4404
Nancy Pelosi vow Democrats raise tax take back House,half-true,0.0
Very people get patdown go airport security,pants-fire,0.34
You’ve got day 10000 new senior baby boomer becoming eligible entitlement program,true,0.0
A majority candidate stage supported amnesty  I never supported amnesty,mostly-true,0.5574
Four 10 homicide committed gun city,true,-0.0772
The United States industrialized modernized country already paid family medical leave program place,true,0.3818
If use Tax Increment Financing funding thats going take fund general fund Pinellas County take fund general fund city St Pete,false,0.0
Half NC legislative candidate unopposed gerrymandering,mostly-true,0.0
Under President Obama 4000 tax hike middleclass family,pants-fire,0.0
Under Obamacare The IRS access American people’s protected health care information,pants-fire,0.7269
The Uvalde Texas school shooter transsexual leftist illegal alien named Salvatore Ramos,false,-0.5574
Flip Flop After opposing term limit decade Adam Putnam adopts Donald Trump Ron DeSantis’ position,half-true,-0.1779
Health care premium consumer doubled since 2001,true,0.4939
Its nearly three week since president commented question possible hidden wait list veteran hospital,true,0.0
An election worker Georgia threw away ballot,false,0.0
After Massachusetts passed mandatory health insurance law mortality rate went downit saved life,mostly-true,0.4767
Biden’s plan immediately let 25000 asylumseekers who’d waiting Mexico case judged,mostly-false,0.0
Today America 70 percent u earning le 12 year ago first time happened side World War II,half-true,-0.5994
Hunters contribute 500 million West Virginia,mostly-true,0.0
Says Nancy Pelosi asked leave children’s benefit drunken outburst,pants-fire,0.4215
Says Scott Brown voted President Barack Obama 70 percent time 2011,mostly-true,0.0
Tax rate significantly higher 40 50 60,true,0.0
I’ve released 22 year tax return You go online look Donald Trump hasn’t released one,true,0.0
The US rank 37th world health care,mostly-true,0.4939
I stopped requesting earmark 2008,true,-0.2263
California growing hell lot faster Texas,mostly-true,-0.5994
Preventive care save government money,true,0.7506
Says Dr Anthony Fauci email advises family member use hydroxychloroquine antibiotic therapy evening press conference attacked President Donald Trump usefulness hydroxychloroquine fight virus,false,-0.5267
Obamacare flatout unpopular even Obama administration chose reject part Obamacare last Friday tried throw CLASS Act longterm care function,mostly-false,0.128
Says US election system rigged,pants-fire,-0.3612
In judicial race special interest group demanded money exchange endorsement support,false,0.8316
Deepwaters testimony    said theyll create six job,half-true,0.2732
Trey Radel even qualify drive Lee County school bus point yet occupies seat Congress,true,0.0
Under energy efficiency legislation sponsored US Sen Jeanne Shaheen federal bureaucrat could take local building code enforcement city socalled ‘green mandates’ complied quickly enough,false,0.5574
Theres never US Supreme Court vacancy last I think 30 year lasting longer 237 day,true,-0.4449
The average age child trafficked commercial sex trade industry 11 14 year old,half-true,0.0
215 member Congress voted let ISP spy type underwear buy sell data advertiser,mostly-true,0.0
The health care reform bill  Page 16  outlaw private insurance,pants-fire,0.4939
Italian Parliament Calls For The Arrest Bill Gates,false,-0.34
Says Rep Kyrsten Sinema supported bill essentially encouraging child trafficking,false,0.6908
China soon largest Englishspeaking nation world,half-true,0.0
Says Mitt Romney changed position supporting TARP program,false,0.4404
CDC announces ordinary nonN95 mask people wearing nothing protect wildfire smoke … Fun fact smoke particle far larger SARSCoV2 particle,false,0.2769
It’s legal sign recall petition Gov Scott Walker even already signed another recall petition one signature count,true,0.128
We closed plant It 27 milliondollar plant operating full steam closed,true,0.0
Religious group like Knights Columbus forced allow samesex marriage ceremony facility belief,pants-fire,0.1027
Says Republican candidate Oregon advocating violence gay,false,-0.6249
A facial recognition firm confirmed antifa infiltrated Trump rally DC,false,0.0
The Canadian government threatens fire government employee us ‘Lets Go Brandon’ communication,pants-fire,-0.6124
Says Bernie Sanders opposes requiring child K12 education,false,0.0
House Republicans complained didnt enough time consider constitutional ban oil drilling shoved proposal day open state water oil drilling,true,-0.743
A bike boy chained tree Washington state 1914 fallen soldier memorial,false,-0.3612
A space shuttle National Museum United States Air Force near Dayton would within day drive 60 percent US population,half-true,0.4215
Wisconsin deficit Thanks Republican reform 2014 budget begin 443 million surplus,half-true,0.0516
While mayor Lois Frankel took police helicopter ride go dinner party,half-true,0.4019
Despite President Barack Obamas promise cut healthcare cost average cost family policy 1300,half-true,0.0516
Jason Aldean gig canceled sell liberal ‘SNL’,pants-fire,0.0
We record bankruptcy farming country,mostly-false,0.0
50000 Thats every child owes today Washington politician run huge spending tab left kid bill,mostly-true,0.3182
Starting March travel outside United States won’t allowed back country due high risk coronavirus,false,0.1779
Want healthy happy baby Skip Well Baby visit They… make baby sick,false,0.6705
Says photo show Bill Clinton Christine Blasey Ford posing camera smiling together,pants-fire,0.4588
Fox admits lie First Amendment right lie deliberately distort news report public airwave,false,-0.0258
Says wearing face mask harmful health going without one,false,0.0
Says Gov Ron DeSantis signed legislation requiring student faculty staff Florida’s public university college register political view state,false,0.0
Says Milwaukee County Executive Chris Abele billionaire,false,0.0
Says claim 40 percent gun sold without background check trace information gathered background check even required,half-true,-0.34
Says In last four year we’ve cut 36 million ongoing revenue,false,-0.2732
People vaccinated coronavirus cannot spread,half-true,0.0
Mass shooting went 200 percent decade assault weapon ban expired,mostly-false,-0.8625
Masks negative impact 68 child,false,-0.5719
When come transportation fund Georgians spend tax red tape get back federal government,half-true,0.0
Says President Donald Trump sign visafree travel policy Ghana Malawi,pants-fire,0.0
Says Nick Kahl made harder many family cover basic health care expense,mostly-false,0.4939
The President want cut 3 MILLION people SNAP including child senior veteran,mostly-true,-0.2023
Says Haley Stevens’ plan socialized medicine would eliminate 100000 doctor nurse,mostly-false,0.0
Again today Ahmadinejad made light 911 said he even sure happened people actually died,true,-0.3182
Even took literally every single ounce platinum world still wouldn’t add enough needed pay nation’s debt,true,-0.4404
If federally licensed gun dealer license revoked youve engaged misconduct  entire inventory prevailing law deemed personal collection You sell free background check,true,0.5574
A national paid leave program would potentially put economy 21 billion dollar annually,mostly-false,-0.0516
Most young Americans right they’re covered health insurance,false,0.0
The child tax credit dont tax relief working family How much tax relief working family get tax reform entirely dependent whether put place increase child tax credit,mostly-true,0.3382
An account attack Benghazi written former White House press secretary Dee Dee Myers show body US Ambassador Libya Christopher Stevens dragged street abused,pants-fire,-0.765
Roy Cooper wont say pay ‘free’ college tuition,half-true,0.0762
Says first family go fouryear college,pants-fire,0.0
Since passage Tax Cuts Jobs Act Walmart increased starting wage 11hr  given 400 million bonus,true,0.5267
The Russian army captured US Major General Roger L Cloutier Jr … besieged Ukrainian Azov camp Mariupol,false,0.0
There evidence poor people abuse drug frequently socioeconomic group,false,-0.8074
Portland Schools spend 500K deem PBJ sandwich racist,pants-fire,-0.6124
The city Houston debt per caput California,half-true,-0.3612
Says Obama doubled stock market started sworn office,mostly-false,0.0
